Month,Monthly Growth of Nominal Exchange Rate (%),Real Exchange Rate (%),Monthly Growth in the Real Exchange Rate (%),Monthly Inflation Rate Germany(%),Monthly Growth in Industrial Production (%),Yearly Growth of Industrial Production (%),International Reserve Index Germany,Monthly Inflation Rate US(%),International Reserve Index US
1970-11-01,0.0,2.0706431788267636,0.06966436689863631,0.4376449637059743,4.555570100798656,-51.504367124638115,287.77344644319857,0.5076142131978489,69.32778039025798
1970-12-01,0.0,2.0675870794471183,-0.14759179229406616,0.6536069675824541,-5.984725178414918,-23.034320819485938,288.3842091255616,0.505050505050364,67.44958818517468
1971-01-01,0.0,2.0454504746391415,-1.0706492136667967,1.08223616667531,-3.009721667332621,-60.77807160507831,297.24766857402824,0.0,68.43710570301843
1971-02-01,0.0,2.0331746994274624,-0.6001502047535467,0.8565470550658372,2.224358094191947,-63.870069241482476,315.0163747807078,0.2512562814075192,67.66795014456586
1971-03-01,0.0,2.029651736968702,-0.1732739670502803,0.42463631765943255,-0.3357958361316027,-107.50565878168233,335.24062297185776,0.2506265664159901,66.77308514254054
1971-04-01,0.0,2.021902415138978,-0.38180549345364634,0.6342270070072598,5.781671159029678,-867.4407717405657,354.8922241146146,0.24999999999992806,66.61264264529918
1971-05-01,-3.0491804256527866,1.965897661028071,-2.769903912848215,0.21008795650783174,0.20384762390111,-97.66662834165638,404.7504242590978,0.49875311720684046,64.30042694651762
1971-06-01,-0.9976327361621129,1.9525865995390532,-0.6770983939243691,0.4192950246659777,-1.13159567705029,-84.36636429252864,357.38676470729183,0.7444168734489498,62.87292637616921
1971-07-01,-0.8824366640712844,1.9320559576443168,-1.051458711208153,0.4175442822646591,-10.198045267489707,4.945645184737417,364.71413915778555,0.24630541871915046,61.84210893887262
1971-08-01,-1.88397472770937,1.9003141443839273,-1.6429034125435504,0.0,-8.219962766719224,97.91586408037148,360.42659852440255,0.24570024570071958,56.46593506874444
1971-09-01,-1.6011005741719653,1.8660086960609938,-1.8052514329968905,0.20790404966068987,17.03853955375272,37.86492374727632,367.6706116908412,0.0,56.47710924150646
1971-10-01,-1.0589880123327289,1.8431256576642248,-1.226309311691498,0.4149118827744047,4.532728969470701,21.37824047703046,371.96647747364716,0.2450980392156188,56.550160395938185
1971-11-01,0.15934578039125125,1.842256214961958,-0.047172188106192614,0.20661543351838674,2.2701186073204926,-50.168287237583975,376.65909809531047,0.0,56.47752827298505
1971-12-01,4.152071754758091,1.9202120976360315,4.231544018739175,0.41237882873232934,-10.69958847736634,78.78161750779302,396.37737272341866,0.48899755501208286,57.335449720680145
1972-01-01,-6.857094324747104,1.7667742849999257,1.4531128571719898,1.2320225651234917,-0.33514872224545966,-88.86446125955273,410.88124869785156,0.0,60.91800622187344
1972-02-01,-1.4047899007998077,1.7433589020034743,-1.3253183043951955,0.4056870931780754,3.853159590864541,73.22568703868232,427.5245913457878,0.48661800486606843,58.36092974179886
1972-03-01,-0.514687421703075,1.7281119344235423,-0.8745742234952392,0.6060718843564183,4.155423637344846,35.56600607354007,428.38162746491315,0.2421307506052628,58.083171790935886
1972-04-01,0.24605678241200746,1.7296027622807166,0.08626917200660333,0.4015814032277909,5.660621761658069,-2.093674891602173,429.41329145502954,0.24154589371974122,58.07173662755085
1972-05-01,0.053496129414520865,1.7346979798798106,0.2945888911726202,0.0,-2.488660046585711,-1.6063043806765251,430.7470206640674,0.24096385542216048,62.130805483898484
1972-06-01,-0.2641924831779163,1.7273643815384494,-0.42275937520082074,0.40000749852440176,-1.1189338697511375,-1.1189338697508773,490.42366856206945,0.24038461538453681,62.103242605329626
